Record Id,Product Owner.id,Product Name,Product Code,Vendor Name.id,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Unit Price,Commission Rate,Tax,Taxable,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Quantity in Demand,Description,Layout.id,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Record Status,Locked,Last Activity Time
zcrm_318358000005761011,zcrm_318358000000245015,Freiw. Sonderprovision,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761012,zcrm_318358000000245015,Sonstige Provisionen,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761013,zcrm_318358000000245015,Leben,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761014,zcrm_318358000000245015,Sonstige Produkte (umsatzsteuerpflichtig),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761015,zcrm_318358000000245015,Sonstige Produkte (USt nicht erhoben §19 UStG),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761016,zcrm_318358000000245015,Erfolgsprovision (umsatzsteuerpflichtig),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-12-30 22:48:21,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,2022-12-30 22:48:21,Available,false,2022-12-30 22:48:21
zcrm_318358000005761017,zcrm_318358000000245015,Erfolgsprovision (USt nicht erhoben §19 UStG),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761018,zcrm_318358000000245015,Freiw. Sonderprovision (umsatzsteuerpflichtig),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761019,zcrm_318358000000245015,Freiw. Sonderprovision (USt nicht erhoben §19 UStG),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761020,zcrm_318358000000245015,Sonstige Provisionen (umsatzsteuerpflichtig),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761021,zcrm_318358000000245015,Sonstige Provisionen (USt nicht erhoben §19 UStG),,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005773050,zcrm_318358000000245015,Lizenzgebühr,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-29 09:38:48,2022-07-29 09:38:48,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005779193,zcrm_318358000000245015,Umbuchung Provisionseinbehalt,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-29 11:39:31,2022-07-29 11:39:31,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000007084001,zcrm_318358000000245015,test_download,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-12-30 20:18:24,2022-12-31 16:22:47,EUR,1.000000000,0.05,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,2022-12-31 16:22:47,Available,false,2022-12-31 16:22:47
zcrm_318358000007507003,zcrm_318358000000245015,Dokumentenerstellung,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2023-02-15 18:57:04,2023-10-16 19:46:50,EUR,1.000000000,80.0,,,true,Quantity,0.0,0.0,0.0,,0.0,Formatting,zcrm_318358000000032007,,,,,,2023-10-16 19:46:50,Available,false,2023-10-16 19:46:50
zcrm_318358000007507004,zcrm_318358000000245015,Rush Multiplier +20%,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2023-02-15 18:57:04,2023-02-16 00:27:39,EUR,1.000000000,1.0,,,true,%,0.0,0.0,0.0,,0.0,Delivery within 24 hours incurs 20% surcharge,zcrm_318358000000032007,,,,,,2023-02-16 00:27:39,Available,false,2023-02-16 00:27:39
zcrm_318358000008028015,zcrm_318358000000245015,Back Office Consulting Pauschal,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2023-04-17 08:01:53,2023-10-06 19:22:16,EUR,1.000000000,80.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,2023-10-06 19:22:16,Available,false,2023-10-06 19:22:16
zcrm_318358000008268003,zcrm_318358000000245015,Honorarberatung,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2023-05-17 13:05:10,2023-05-17 13:05:10,EUR,1.000000000,207.5,,,true,Stunde,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
