Convert.id,Lead.id,Account.id,Contact.id,Potential.id,Lead Created Time,Converted Time,Converted By.id
zcrm_318358000006116201,zcrm_318358000000625009,,zcrm_318358000006116195,,2021-01-15 20:12:35,2022-09-04 12:27:25,zcrm_318358000000245015
zcrm_318358000006116216,zcrm_318358000000897006,,zcrm_318358000006116210,,2021-02-18 13:38:10,2022-09-04 12:27:26,zcrm_318358000000245015
zcrm_318358000006116231,zcrm_318358000001148014,,zcrm_318358000006116225,,2021-03-25 10:34:47,2022-09-04 12:27:26,zcrm_318358000000245015
zcrm_318358000006116251,zcrm_318358000001148030,,zcrm_318358000006116245,,2021-03-25 10:53:21,2022-09-04 12:27:26,zcrm_318358000000245015
zcrm_318358000006116271,zcrm_318358000001151001,,zcrm_318358000006116265,,2021-03-24 12:58:56,2022-09-04 12:27:27,zcrm_318358000000245015
zcrm_318358000006116291,zcrm_318358000001164034,,zcrm_318358000006116285,,2021-03-27 10:32:40,2022-09-04 12:27:27,zcrm_318358000000245015
zcrm_318358000006116311,zcrm_318358000001164054,,zcrm_318358000006116305,,2021-03-28 19:49:51,2022-09-04 12:27:27,zcrm_318358000000245015
zcrm_318358000006116331,zcrm_318358000001167009,,zcrm_318358000006116325,,2021-03-26 17:22:17,2022-09-04 12:27:27,zcrm_318358000000245015
zcrm_318358000006116351,zcrm_318358000001173001,,zcrm_318358000006116345,,2021-03-25 20:25:03,2022-09-04 12:27:27,zcrm_318358000000245015
zcrm_318358000006116371,zcrm_318358000001175010,,zcrm_318358000006116365,,2021-03-28 21:22:14,2022-09-04 12:27:28,zcrm_318358000000245015
zcrm_318358000006116391,zcrm_318358000001176013,,zcrm_318358000006116385,,2021-03-28 10:20:12,2022-09-04 12:27:28,zcrm_318358000000245015
zcrm_318358000006116411,zcrm_318358000001186001,,zcrm_318358000006116405,,2021-03-29 08:32:26,2022-09-04 12:27:28,zcrm_318358000000245015
zcrm_318358000006116431,zcrm_318358000001191002,,zcrm_318358000006116425,,2021-03-29 14:21:09,2022-09-04 12:27:28,zcrm_318358000000245015
zcrm_318358000006116451,zcrm_318358000001199001,,zcrm_318358000006116445,,2021-03-29 22:00:38,2022-09-04 12:27:28,zcrm_318358000000245015
zcrm_318358000006116471,zcrm_318358000001205001,,zcrm_318358000006116465,,2021-03-30 12:52:03,2022-09-04 12:27:29,zcrm_318358000000245015
zcrm_318358000006116491,zcrm_318358000001206001,,zcrm_318358000006116485,,2021-03-30 15:28:38,2022-09-04 12:27:29,zcrm_318358000000245015
zcrm_318358000006116511,zcrm_318358000001208025,,zcrm_318358000006116505,,2021-03-31 19:27:35,2022-09-04 12:27:29,zcrm_318358000000245015
zcrm_318358000006116531,zcrm_318358000001208041,,zcrm_318358000006116525,,2021-04-01 11:00:09,2022-09-04 12:27:29,zcrm_318358000000245015
zcrm_318358000006116551,zcrm_318358000001210017,,zcrm_318358000006116545,,2021-04-01 03:01:37,2022-09-04 12:27:29,zcrm_318358000000245015
